Date,Open,High,Low,Close,Adj Close,Volume
2015-04-08,27.299999,27.575001,27.299999,27.441999,27.441999,28386000
2015-04-09,27.460501,27.468500,27.097500,27.400999,27.400999,32366000
2015-04-10,27.478500,27.492500,27.249001,27.427000,27.427000,26104000
2015-04-13,27.352501,27.663500,27.315001,27.431999,27.431999,29326000
2015-04-14,27.328501,27.328501,26.787001,26.989000,26.989000,47206000
2015-04-15,26.898001,27.159500,26.618500,27.052000,27.052000,46962000
2015-04-16,26.917500,27.261499,26.905001,27.176001,27.176001,31722000
2015-04-17,26.865499,26.990000,26.450001,26.636999,26.636999,49234000
2015-04-20,26.687500,27.290001,26.667500,27.226500,27.226500,38508000
2015-04-21,27.315500,27.388500,27.110500,27.146000,27.146000,29128000
2015-04-22,27.153000,27.549999,27.066000,27.459000,27.459000,31806000
2015-04-23,27.520500,28.058500,27.504000,27.872999,27.872999,78184000
2015-04-24,29.002501,29.235001,28.417500,28.683001,28.683001,92168000
2015-04-27,28.638500,28.775999,28.115000,28.306000,28.306000,48062000
2015-04-28,28.216000,28.391500,28.048000,28.218500,28.218500,37178000
2015-04-29,28.025499,28.292000,27.950001,28.069500,28.069500,33622000
2015-04-30,27.927999,28.055500,27.336000,27.438499,27.438499,47240000
2015-05-01,27.525499,27.561001,27.192499,27.558001,27.558001,36572000
2015-05-04,27.549500,27.834499,27.369499,27.642000,27.642000,35260000
2015-05-05,27.507999,27.630501,27.118500,27.152000,27.152000,28528000
2015-05-06,27.132000,27.196501,26.612000,26.754000,26.754000,39034000
2015-05-07,26.795000,27.260000,26.672501,27.101999,27.101999,31844000
2015-05-08,27.443501,27.639999,27.401501,27.447500,27.447500,28226000
2015-05-11,27.424500,27.668501,27.280001,27.289000,27.289000,21858000
2015-05-12,27.140499,27.148001,26.750000,26.936501,26.936501,35282000
2015-05-13,27.023500,27.191999,26.948999,26.974501,26.974501,24238000
2015-05-14,27.198500,27.484501,27.125000,27.459999,27.459999,31736000
2015-05-15,27.519501,27.530001,27.125000,27.324499,27.324499,33440000
2015-05-18,27.191000,27.417000,27.112499,27.333500,27.333500,26706000
2015-05-19,27.400000,27.670000,27.356001,27.464001,27.464001,47126000
2015-05-20,27.546000,27.803499,27.254999,27.625500,27.625500,30840000
2015-05-21,27.510000,27.880501,27.465000,27.840500,27.840500,34170000
2015-05-22,27.723000,27.912001,27.681000,27.726000,27.726000,24266000
2015-05-26,27.629000,27.666500,27.148500,27.359501,27.359501,37474000
2015-05-27,27.434000,27.764500,27.329000,27.712500,27.712500,34844000
2015-05-28,27.689501,27.788000,27.540001,27.709000,27.709000,23544000
2015-05-29,27.660000,27.697001,27.252001,27.266001,27.266001,43446000
2015-06-01,27.436501,27.528500,27.179001,27.460501,27.460501,33210000
2015-06-02,27.371500,27.939501,27.327499,27.697500,27.697500,31842000
2015-06-03,27.754999,27.899500,27.607500,27.764500,27.764500,26710000
2015-06-04,27.608999,27.798000,27.455999,27.584499,27.584499,26866000
