DATE,USTRADE
2016-11-01,15857.2
2016-12-01,15882.7
2017-01-01,15917.8
2017-02-01,15882.2
2017-03-01,15864.7
2017-04-01,15848.3
2017-05-01,15835.4
2017-06-01,15834.7
2017-07-01,15821.5
2017-08-01,15827.1
2017-09-01,15821.4
2017-10-01,15816.8
2017-11-01,15823.6
2017-12-01,15810.1
2018-01-01,15781.4
2018-02-01,15820.1
2018-03-01,15836.1
2018-04-01,15834.8
2018-05-01,15843.6
2018-06-01,15798.0
2018-07-01,15781.6
2018-08-01,15783.9
2018-09-01,15738.7
2018-10-01,15705.5
2018-11-01,15724.2
2018-12-01,15704.1
2019-01-01,15683.5
2019-02-01,15661.8
2019-03-01,15648.6
2019-04-01,15645.3
2019-05-01,15619.9
2019-06-01,15585.3
2019-07-01,15589.5
2019-08-01,15588.4
2019-09-01,15582.1
2019-10-01,15591.7
2019-11-01,15560.4
2019-12-01,15608.6
